"id","branch_id","min_distance_km","max_distance_km","delivery_cost","is_active","display_order","created_at","updated_at"
"2","3","0.00","0.50","0.00","true","1","2026-02-17T11:29:09.127Z","2026-02-17T11:29:09.127Z"
"3","3","0.50","5.00","3.00","true","2","2026-02-17T11:29:25.271Z","2026-02-17T11:29:25.271Z"
"4","2","0.00","1.00","2.00","true","3","2026-02-17T11:33:08.571Z","2026-02-17T11:33:08.571Z"
"5","2","1.00","2.00","2.00","true","4","2026-02-17T11:33:42.412Z","2026-02-17T11:33:42.412Z"
"6","2","2.00","5.00","3.00","true","5","2026-02-17T11:33:55.932Z","2026-02-17T11:33:55.932Z"
