"id","name","customization_type","default_price","is_active","created_at","option_group_name","is_required","is_multi_select","display_order","is_default"
"130","Add Ham","addon","1.00","true","2026-01-23T19:14:00.222Z",,"false","false","0","false"
"131","Add Turkey","addon","1.00","true","2026-01-23T19:14:10.648Z",,"false","false","0","false"
"132","Full fat Milk","option","0.00","true","2026-01-24T19:41:22.640Z","Milk","true","false","0","true"
"133","Skim Milk","option","0.00","true","2026-01-24T19:41:54.742Z","Milk","true","false","1","false"
"134","Lactose Free","option","0.90","true","2026-01-24T19:42:34.296Z","Milk","false","false","2","false"
"135","Almond Milk","option","2.00","true","2026-01-24T19:47:17.464Z","Milk","false","false","3","false"
"136","Small","option","0.00","true","2026-01-25T08:48:47.841Z","Size","false","false","0","false"
"138","Medium ","option","0.00","true","2026-01-25T08:50:09.154Z","Size","false","false","0","false"
"139","Large","option","0.00","true","2026-01-25T08:50:22.239Z","Size","false","false","0","false"
"148","Fries & Pepsi","option","4.00","true","2026-01-28T17:27:52.300Z","Make it a Meal","false","false","0","false"
"149","Fries & Diet Pepsi","option","4.00","true","2026-01-28T17:28:19.374Z","Make it a Meal","false","false","0","false"
"150","Fries & 7Up","option","4.00","true","2026-01-28T17:28:44.110Z","Make it a Meal","false","false","0","false"
"151","Fries & Icetea Peach","option","4.00","true","2026-01-28T17:29:14.449Z","Make it a Meal","false","false","0","false"
"152","Fries & Diet 7Up","option","4.00","true","2026-01-28T17:33:33.129Z","Make it a Meal","false","false","0","false"
"153","Decaf","option","0.00","true","2026-02-02T21:22:11.127Z","Coffee Type","false","false","0","false"
"154","Regular","option","0.00","true","2026-02-02T21:25:28.449Z","Coffee Type","false","false","1","true"
"155","No Cutleries","option","0.00","true","2026-02-15T10:45:00.406Z","Cutleries","false","false","0","true"
"156","Cutleries set","option","0.00","true","2026-02-15T10:46:36.705Z","Cutleries","false","false","0","false"
"160","Vanilla Sugar Free Syrup","addon","1.00","true","2026-02-16T02:24:13.798Z",,"false","false","0","false"
"161","Hazelnut Sugar free Syrup","addon","1.00","true","2026-02-16T02:24:36.767Z",,"false","false","0","false"
"162","Vanilla Syrup","addon","1.00","true","2026-02-16T02:24:47.757Z",,"false","false","0","false"
"163","Hazelnut Syrup","addon","1.00","true","2026-02-16T02:25:01.494Z",,"false","false","0","false"
"164","Extra Broccoli ","addon","1.00","true","2026-04-03T12:16:43.588Z",,"false","false","0","false"
"165","Extra Rice","addon","1.00","true","2026-04-03T12:17:01.658Z",,"false","false","0","false"
"166","Pumpkin Seeds","remove","0.00","true","2026-04-03T12:19:25.807Z",,"false","false","0","false"
"167","Goji Berries","remove","0.00","true","2026-04-03T12:19:40.607Z",,"false","false","0","false"
"168","Extra Black Rice","addon","3.00","true","2026-04-03T12:20:16.153Z",,"false","false","0","false"
"169","Rice","remove","0.00","true","2026-04-03T12:20:35.505Z",,"false","false","0","false"
"170","Furikaki","remove","0.00","true","2026-04-03T12:21:00.329Z",,"false","false","0","false"
"171","Extra Ground Beef","addon","5.00","true","2026-04-03T12:21:46.493Z",,"false","false","0","false"
"172","Ground Beef","option","0.00","true","2026-04-03T12:22:28.131Z","Protein","false","false","0","false"
